Priority,Type,Slug afectado,Redirect from,Redirect to,Último rastreo GSC
P4,collection,bases-giratorias,/en-pt/collections/bases-giratorias,/collections/remolque-chasis-nivelacion,2026-02-18
P4,collection,cocina,/en-pt/collections/cocina,/collections/cocina-gas,2026-01-28
P4,collection,escalones-electricos,/en-pt/collections/escalones-electricos,/collections/acceso-movilidad-exterior-escalones-manuales,2026-04-03
P4,collection,glaziar-ac-06,/en-pt/collections/glaziar-ac-06,/collections/climatizacion-frio-aires-acondicionados,2026-05-08
P4,collection,kits-solares-deep-power,/en-pt/collections/kits-solares-deep-power,/collections/electricidad-energia,2026-02-16
P4,page,condiciones-de-compra,/en-at/pages/condiciones-de-compra,/pages/condiciones-de-compra,2026-02-08
P4,page,quienes-somos,/en-nl/pages/quienes-somos,/pages/quienes-somos,2026-04-25
P4,page,condiciones-de-compra,/en-pt/pages/condiciones-de-compra,/pages/condiciones-de-compra,2026-05-07
P4,page,gastos-de-envio,/en-pt/pages/gastos-de-envio,/pages/gastos-de-envio,2026-03-27
P4,page,politica-de-privacidad,/en-pt/pages/politica-de-privacidad,/pages/politica-de-privacidad,2026-04-25
